"region","name","alpha_D","alpha_H","beta17","beta18","beta19","beta20","beta21","beta22","beta23","beta24","eps","m_CHR","m_CHW","mu_D","mu_D_2","mu_gamma_H","mu_gamma_H_2","mu_gamma_H_3","p_G_D","p_G_D_CHR","p_H","p_H_2","p_H_3","p_H_D","p_ICU","p_ICU_2","p_ICU_D","p_NC","p_NC_weekend","p_W_D","rho_pillar2_tests","strain_seed_date","strain_transmission_2"
"east_of_england","alpha_D",0.0193941132195423,-3.67766571951662e-05,5.27306894169223e-05,7.31041845081029e-05,-8.21288589705953e-05,0.000128306446449035,-0.000112895559658392,0.000145214613624802,8.81925722515418e-05,0.000173570401329577,-0.000365537873164423,-1.01815006714615e-07,-3.85123212688766e-08,-0.00158813789485516,0.00210350729169327,-0.000538754750450705,-0.00122963700493934,0.000187743765534154,-0.00021132371031009,-0.00396856614538174,0.00211558483045111,-0.0033799899348597,-0.000276713032213374,0.000802280288768784,0.000162599649813623,0.000427691410199278,0.00114969838090925,1.50861482822503e-05,-7.51002891078568e-06,-0.00284566529946553,5.22303997836309e-05,0.0137403931978792,-0.00134936347184057
"east_of_england","alpha_H",-3.67766571951662e-05,1.63085697500378e-06,2.65207569714981e-07,-1.23491224212262e-06,5.12076014423575e-07,-5.08839080298022e-08,9.63468640306328e-07,-1.326529074382e-06,8.42552143540038e-07,2.08415608947334e-07,2.06466441901533e-05,5.8093893392798e-10,-2.09119956741937e-10,6.26068616263655e-07,-2.27745675834464e-05,-3.65850689217487e-06,8.58023034154229e-06,-7.75197659240284e-06,-1.4301848933242e-06,2.12532889778977e-05,-1.26794178877286e-05,1.84439084266868e-05,-4.23546145373397e-06,2.37116799809703e-06,3.51188946276373e-06,-1.33817145428603e-06,-2.77727250415264e-05,2.72377513366102e-08,5.33995039837703e-08,-7.12249489018028e-07,-5.34215854315413e-07,-7.81085354663565e-05,-4.63640894129321e-06
"east_of_england","beta17",5.27306894169223e-05,2.65207569714981e-07,2.31512815089346e-06,-2.84258657584735e-06,2.4508236677001e-06,-4.71932990167973e-07,9.36426545497342e-08,-9.59594195139749e-07,2.59832451827779e-06,7.38760478833141e-07,-3.0419116321515e-06,2.30240461297593e-10,-1.00110163333457e-10,-6.85044950293126e-06,-1.19159659383543e-05,-5.41007126537684e-05,-5.18783870024413e-06,7.33014271103068e-06,-3.83797724965415e-06,-1.40464009411385e-05,2.50591758793257e-06,-8.56525291511935e-06,-3.50159553009635e-05,2.6240150990999e-05,9.34364479328075e-06,-2.62015311710269e-07,-2.92975073829442e-05,1.65887720121737e-07,7.91217510403085e-08,3.57910976855332e-05,-2.08654016350468e-07,0.00105320492581323,-2.6797701680813e-06
"east_of_england","beta18",7.31041845081029e-05,-1.23491224212262e-06,-2.84258657584735e-06,1.12102603126121e-05,-7.89840177277478e-06,2.70958012425538e-06,-3.58223034912209e-07,1.17179515937486e-06,-1.31064945077262e-06,2.99467637570597e-07,4.18069831771472e-05,-2.0567996968062e-09,7.31197011426951e-10,-3.33658580409648e-05,3.19526347360999e-05,0.000100118919300359,1.26754766493164e-05,-1.69248119945992e-05,1.25305805769253e-05,3.03006305231337e-06,7.33736682416454e-06,-6.43203055614729e-06,7.01604360671427e-05,-2.60785255779916e-05,-1.91630208288733e-05,6.9373803222135e-07,8.13949283630069e-05,-1.33051324278341e-07,-6.27809046641396e-08,-9.25089919902734e-05,1.27455643600374e-06,-0.00362308826888948,-1.50103933943796e-05
"east_of_england","beta19",-8.21288589705953e-05,5.12076014423575e-07,2.4508236677001e-06,-7.89840177277478e-06,1.01865713679502e-05,-4.99784841744537e-06,-1.28895831860866e-06,-3.34877376807544e-07,4.10839359387085e-07,-3.85015788340523e-06,0.000140550165744679,1.57784981193963e-09,-3.97436913191949e-10,2.92914208453325e-05,-4.19555000364756e-05,-0.000136001523433596,4.65610088025847e-06,1.84621968101826e-05,-1.36118946721316e-05,-9.71965843747796e-06,3.03947891609151e-05,8.24238760468189e-06,-7.5173153374445e-05,1.47574448172871e-05,1.41162649824136e-05,1.58419521028378e-06,-9.68625868072569e-05,1.45445143581972e-07,-3.34053267122985e-08,0.000112860619494125,-4.09026711879714e-07,0.00490525670644941,6.62525157123872e-05
"east_of_england","beta20",0.000128306446449035,-5.08839080298022e-08,-4.71932990167973e-07,2.70958012425538e-06,-4.99784841744537e-06,6.18951058951945e-06,1.79141500505372e-07,2.54412503126982e-06,7.92192129049534e-07,5.02202351708015e-06,-3.27178771629016e-05,-5.73327523758179e-10,-5.78461647641587e-10,-1.83586885910892e-05,3.57983712647812e-05,8.35749697828968e-05,-1.9142011686981e-05,-1.19877662302394e-08,4.98309080121918e-07,-1.42130144995239e-05,-2.34317636304954e-05,-2.69320296433354e-05,2.86044891550843e-05,-1.32626456224891e-06,-2.14928325582489e-05,-2.55954885520332e-06,-2.05085745940959e-05,-1.17523078163079e-07,-8.04412520084016e-08,-3.65713152448957e-05,1.30481521778363e-07,-0.00203471809796764,-8.80788988444806e-05
"east_of_england","beta21",-0.000112895559658392,9.63468640306328e-07,9.36426545497342e-08,-3.58223034912209e-07,-1.28895831860866e-06,1.79141500505372e-07,1.34416547784475e-05,-2.33475671999009e-06,1.6621426269694e-08,7.17005694242948e-06,-4.4400385809126e-06,1.4681870937588e-09,-6.89578364740964e-10,-2.12015530677364e-06,-0.000102187855795862,4.06751936265521e-06,4.25650656556947e-05,-1.80307035115847e-05,5.23561612709842e-06,8.0425552576405e-05,-5.17055626277982e-05,1.45685283753602e-05,2.00954773942198e-05,-1.33261950555055e-05,2.23526019169134e-05,-1.29336548772527e-05,-6.33236431505509e-05,-2.3960908868524e-07,1.97194003993595e-07,-3.37479392276603e-05,-2.60953986851806e-06,-0.00363337298107019,-0.000184305815189596
"east_of_england","beta22",0.000145214613624802,-1.326529074382e-06,-9.59594195139749e-07,1.17179515937486e-06,-3.34877376807544e-07,2.54412503126982e-06,-2.33475671999009e-06,1.99430469859638e-05,-8.14082645852647e-06,2.57031852969586e-06,4.79864204906238e-05,-1.05122266425883e-09,3.20403907662578e-10,3.379948074529e-05,5.7269959754537e-05,2.20039380339452e-05,-4.80264165123488e-06,-1.59112260359885e-06,-7.89314074712689e-06,-6.1572874448952e-05,1.38683005166744e-06,6.42414418840145e-06,-7.20630621397745e-06,-4.78050772162528e-05,5.80135832724825e-07,3.56745782591015e-06,-5.98934392728384e-05,-1.88320787003205e-08,-2.52964586170366e-07,8.12967424439861e-05,2.01951840731237e-07,0.00117833666182508,-3.25782932870975e-05
"east_of_england","beta23",8.81925722515418e-05,8.42552143540038e-07,2.59832451827779e-06,-1.31064945077262e-06,4.10839359387085e-07,7.92192129049534e-07,1.6621426269694e-08,-8.14082645852647e-06,2.2961387564659e-05,-3.52144369830409e-06,-5.52194453750534e-05,4.17805070872781e-10,-1.91896798762922e-09,-5.62171755527557e-05,-5.51057277713532e-06,-2.17313312789316e-05,-3.00094775593609e-05,1.95634834703214e-05,5.94993575801301e-06,3.88216434205772e-05,2.61848885938162e-05,-2.21602337280991e-06,2.04954693855589e-05,7.55253212291171e-05,-1.37517626790623e-05,5.2412962957917e-06,7.52976354698678e-05,-7.49532111302126e-08,2.32287005900083e-08,9.76027929127531e-06,1.15098652217651e-06,-0.00254706025245912,-6.0129134777665e-05
"east_of_england","beta24",0.000173570401329577,2.08415608947334e-07,7.38760478833141e-07,2.99467637570597e-07,-3.85015788340523e-06,5.02202351708015e-06,7.17005694242948e-06,2.57031852969586e-06,-3.52144369830409e-06,2.49712628227334e-05,-6.36119332727657e-05,3.00403889285534e-10,-3.56672706720703e-10,-6.73220966158164e-06,-8.22492265370087e-06,1.45861965118771e-05,-1.76739064242597e-05,4.60937436229881e-06,4.00802803069131e-06,-4.49588182092314e-05,-5.43265064604581e-05,-4.03630075421419e-05,4.29085584636936e-05,-2.64665992670708e-05,-3.03387109843052e-05,-8.68583068356236e-06,-0.000145627366197819,-1.51304660858395e-07,1.52130791455786e-08,-9.32438116977396e-05,-1.90782188898692e-06,-0.00279771393643658,-0.000199391691698251
